iter	Passed	Remaining
0	1	5932
1	2	5769
2	3	5465
3	4	5475
4	6	6025
5	7	5862
6	8	5706
7	9	5637
8	10	5556
9	11	5537
10	12	5505
11	13	5450
12	14	5416
13	15	5415
14	16	5419
15	17	5403
16	18	5387
17	19	5366
18	20	5341
19	21	5329
20	22	5316
21	23	5310
22	24	5302
23	25	5277
24	26	5268
25	27	5253
26	28	5245
27	29	5228
28	30	5218
29	31	5211
30	32	5216
31	33	5207
32	34	5204
33	35	5189
34	36	5184
35	37	5181
36	39	5330
37	41	5391
38	42	5406
39	44	5508
40	45	5545
41	47	5595
42	48	5595
43	49	5591
44	50	5586
45	51	5583
46	63	6710
47	64	6686
48	65	6662
49	76	7561
50	77	7534
51	78	7499
52	79	7457
53	81	7433
54	82	7419
55	84	7448
56	85	7432
57	87	7418
58	88	7406
59	89	7394
60	90	7364
61	92	7336
62	93	7295
63	94	7266
64	95	7244
65	96	7224
66	97	7205
67	99	7182
68	100	7157
69	101	7131
70	102	7103
71	103	7075
72	104	7050
73	105	7018
74	106	6998
75	108	7026
76	109	7005
77	110	6987
78	111	6971
79	113	6954
80	114	6932
81	115	6917
82	116	6896
83	117	6876
84	118	6854
85	119	6828
86	120	6809
87	121	6788
88	122	6769
89	123	6748
90	124	6729
91	125	6713
92	127	6704
93	128	6685
94	129	6665
95	130	6645
96	131	6636
97	132	6619
98	133	6602
99	134	6586
100	135	6569
101	136	6553
102	137	6545
103	138	6530
104	139	6515
105	140	6500
106	141	6487
107	144	6526
108	145	6538
109	146	6533
110	148	6543
111	149	6542
112	151	6538
113	152	6534
114	153	6530
115	154	6519
116	155	6505
117	156	6493
118	157	6477
119	159	6469
120	160	6458
121	161	6449
122	162	6440
123	164	6462
124	165	6450
125	166	6437
126	167	6428
127	168	6414
128	169	6401
129	170	6389
130	171	6376
131	172	6364
132	173	6351
133	174	6346
134	175	6338
135	177	6330
136	178	6326
137	179	6313
138	180	6309
139	181	6301
140	182	6294
141	184	6295
142	185	6289
143	186	6280
144	187	6286
145	189	6291
146	190	6299
147	191	6293
148	193	6289
149	195	6306
150	197	6334
151	199	6352
152	200	6348
153	201	6355
154	203	6350
155	204	6341
156	205	6337
157	206	6340
158	208	6333
159	209	6325
160	210	6315
161	211	6308
162	212	6316
163	214	6310
164	215	6305
165	216	6301
166	217	6293
167	219	6314
168	220	6308
169	221	6305
170	223	6298
171	224	6293
172	225	6286
173	226	6279
174	227	6271
175	228	6265
176	229	6261
177	230	6256
178	232	6251
179	233	6246
180	234	6240
181	235	6235
182	236	6229
183	237	6220
184	238	6215
185	239	6209
186	241	6203
187	242	6196
188	243	6189
189	244	6181
190	245	6173
191	246	6167
192	247	6164
193	248	6157
194	249	6151
195	250	6143
196	251	6136
197	252	6129
198	253	6122
199	254	6116
200	255	6110
201	257	6104
202	258	6100
203	259	6093
204	260	6087
205	261	6079
206	262	6073
207	263	6069
208	264	6063
209	265	6059
210	266	6054
211	267	6048
212	268	6042
213	269	6037
214	271	6033
215	272	6028
216	273	6022
217	274	6017
218	275	6011
219	276	6004
220	277	5998
221	278	5994
222	279	5991
223	280	5984
224	281	5979
225	282	5974
226	283	5969
227	284	5962
228	285	5957
229	286	5951
230	288	5947
231	289	5943
232	290	5939
233	291	5932
234	292	5927
235	293	5923
236	294	5918
237	295	5912
238	296	5906
239	297	5903
240	298	5900
241	299	5895
242	300	5889
243	301	5884
244	302	5880
245	304	5876
246	305	5872
247	306	5869
248	308	5879
249	309	5874
250	310	5869
251	311	5864
252	312	5860
253	313	5856
254	314	5852
255	315	5847
256	316	5844
257	317	5839
258	318	5835
259	319	5831
260	320	5827
261	321	5822
262	323	5818
263	324	5813
264	325	5808
265	326	5805
266	327	5801
267	328	5795
268	329	5791
269	330	5787
270	331	5783
271	332	5780
272	333	5776
273	334	5770
274	335	5765
275	336	5759
276	337	5755
277	338	5750
278	339	5745
279	340	5741
280	341	5737
281	342	5734
282	343	5730
283	344	5728
284	345	5722
285	346	5719
286	348	5716
287	349	5712
288	350	5708
289	351	5703
290	352	5700
291	353	5696
292	354	5693
293	355	5689
294	356	5686
295	357	5683
296	358	5681
297	359	5677
298	360	5673
299	361	5669
300	362	5666
301	363	5662
302	364	5657
303	366	5654
304	367	5650
305	368	5658
306	370	5656
307	371	5654
308	372	5649
309	373	5645
310	374	5642
311	375	5638
312	376	5635
313	377	5631
314	378	5628
315	379	5623
316	380	5621
317	381	5618
318	382	5615
319	383	5612
320	385	5612
321	386	5610
322	387	5607
323	388	5603
324	389	5599
325	390	5597
326	391	5594
327	392	5591
328	393	5587
329	394	5586
330	395	5584
331	396	5581
332	398	5578
333	399	5575
334	400	5572
335	401	5569
336	402	5564
337	403	5561
338	404	5557
339	405	5553
340	406	5550
341	407	5547
342	408	5544
343	409	5540
344	410	5538
345	411	5534
346	412	5530
347	413	5527
348	414	5524
349	415	5521
350	416	5517
351	417	5515
352	418	5512
353	419	5509
354	420	5506
355	421	5503
356	422	5501
357	423	5497
358	425	5494
359	426	5491
360	427	5489
361	428	5486
362	429	5484
363	430	5481
364	431	5478
365	432	5476
366	433	5472
367	434	5471
368	435	5468
369	436	5465
370	437	5462
371	438	5459
372	439	5457
373	440	5454
374	442	5451
375	443	5448
376	444	5446
377	445	5444
378	446	5441
379	447	5438
380	448	5435
381	449	5433
382	450	5430
383	451	5428
384	452	5425
385	453	5423
386	454	5420
387	455	5418
388	456	5415
389	457	5412
390	459	5410
391	460	5408
392	461	5404
393	462	5402
394	463	5399
395	464	5397
396	465	5395
397	466	5392
398	467	5390
399	468	5387
400	470	5392
