iter	RMSE
0	33.31443909
1	33.13057563
2	32.95806303
3	32.80716466
4	32.62826018
5	32.46101888
6	32.29973625
7	32.12863861
8	31.97174446
9	31.80005481
10	31.63801022
11	31.47511967
12	31.30659899
13	31.15751647
14	30.99889116
15	30.8426164
16	30.69965322
17	30.54847884
18	30.4075337
19	30.26132377
20	30.11062532
21	29.96590298
22	29.82277706
23	29.68322282
24	29.54810574
25	29.4032724
26	29.27663232
27	29.15219404
28	29.01744982
29	28.89297327
30	28.76198661
31	28.63986486
32	28.51862279
33	28.39135868
34	28.2668402
35	28.14822448
36	28.03012123
37	27.91020025
38	27.79660255
39	27.6782752
40	27.55819335
41	27.44534985
42	27.33824131
43	27.23007084
44	27.12285754
45	27.00865361
46	26.90746809
47	26.79610554
48	26.69389569
49	26.58405214
50	26.48038695
51	26.37308384
52	26.27072513
53	26.1770397
54	26.07615332
55	25.9827438
56	25.89314159
57	25.79367131
58	25.70399915
59	25.61294953
60	25.53204731
61	25.44052022
62	25.34728699
63	25.25750393
64	25.16861712
65	25.08478261
66	25.00229277
67	24.91928698
68	24.83548658
69	24.7610861
70	24.68359239
71	24.60201258
72	24.51978577
73	24.44202796
74	24.35945471
75	24.28173151
76	24.20946518
77	24.13090714
78	24.05175526
79	23.97845351
80	23.90634143
81	23.83204443
82	23.75915385
83	23.69564342
84	23.62810886
85	23.56151469
86	23.49645227
87	23.43128266
88	23.36249107
89	23.29750317
90	23.23023216
91	23.16815282
92	23.10865311
93	23.04312232
94	22.98685184
95	22.92371533
96	22.8666107
97	22.80613331
98	22.74954899
99	22.69749082
100	22.64009948
101	22.58491171
102	22.52928941
103	22.46851515
104	22.41406982
105	22.35867496
106	22.30304329
107	22.25587087
108	22.20084891
109	22.15349791
110	22.11336225
111	22.06853713
112	22.01595454
113	21.96425411
114	21.91970822
115	21.87494707
116	21.82739409
117	21.7805194
118	21.73054534
119	21.68692338
120	21.64314048
121	21.60515211
122	21.5593244
123	21.5150632
124	21.47052505
125	21.4246723
126	21.38587004
127	21.34647687
128	21.30576318
129	21.26227079
130	21.21723025
131	21.17877745
132	21.13771492
133	21.09909101
134	21.06142961
135	21.02724144
136	20.98908039
137	20.9523339
138	20.92276242
139	20.88403456
140	20.84547009
141	20.80526508
142	20.77217524
143	20.73886893
144	20.70433579
145	20.66906946
146	20.63638926
147	20.60409187
148	20.56944062
149	20.5358453
150	20.50665014
151	20.47237372
152	20.43815842
153	20.40565581
154	20.37020164
155	20.34245626
156	20.31024954
157	20.28047736
158	20.25076525
159	20.22321834
160	20.1898432
161	20.16323862
162	20.13359903
163	20.10424951
164	20.07665572
165	20.04565798
166	20.01841269
167	19.99143847
168	19.9631321
169	19.93684739
170	19.91050977
171	19.88576678
172	19.85915389
173	19.83062972
174	19.80448176
175	19.77955589
176	19.75400865
177	19.72743771
178	19.69877193
179	19.67542252
180	19.65203625
181	19.62691661
182	19.60175044
183	19.57878423
184	19.55805143
185	19.53373764
186	19.50880169
187	19.48389095
188	19.46041631
189	19.43852323
190	19.4182733
191	19.39636318
192	19.37299397
193	19.35219444
194	19.3316506
195	19.30891808
196	19.28873961
197	19.273326
198	19.25309069
199	19.23346247
200	19.21609118
201	19.1977115
202	19.17863692
203	19.15990174
204	19.14012554
205	19.11908445
206	19.10003391
207	19.08182573
208	19.06574701
209	19.04722445
210	19.02710844
211	19.00732358
212	18.98805165
213	18.96900734
214	18.95014538
215	18.93256351
216	18.91631291
217	18.89694963
218	18.8804601
219	18.86409079
220	18.84562113
221	18.83055559
222	18.8134834
223	18.79779957
224	18.77849577
225	18.76217002
226	18.74744441
227	18.73022519
228	18.71420648
229	18.69899179
230	18.68313899
231	18.66771061
232	18.65325977
233	18.63755336
234	18.62396289
235	18.6094967
236	18.5936815
237	18.57607198
238	18.56294552
239	18.54812586
240	18.5316868
241	18.51791253
242	18.50392168
243	18.49084355
244	18.47708758
245	18.46430202
246	18.45012979
247	18.43707333
248	18.42299326
249	18.40861503
250	18.39443371
251	18.38320219
252	18.37091997
253	18.3592801
254	18.34701776
255	18.33312494
256	18.32238758
257	18.31265693
258	18.29848963
259	18.28455319
260	18.27386703
261	18.26290803
262	18.25051206
263	18.23694144
264	18.2245512
265	18.21259656
266	18.20211323
267	18.18891216
268	18.17647654
269	18.16651763
270	18.15495923
271	18.14222996
272	18.12916177
273	18.11773613
274	18.10673728
275	18.0951139
276	18.0844629
277	18.07290664
278	18.06283353
279	18.05279826
280	18.04239727
281	18.03286702
282	18.01958991
283	18.00492144
284	17.99365597
285	17.98435599
286	17.97422725
287	17.96529739
288	17.95490834
289	17.94727388
290	17.93559778
291	17.92595184
292	17.91853969
293	17.90753255
294	17.89823858
295	17.88876871
296	17.87808773
297	17.87052288
298	17.85952511
299	17.85049925
300	17.84134266
301	17.83178933
302	17.82249658
303	17.81498384
304	17.80705938
305	17.79956306
306	17.79006627
307	17.7814745
308	17.77361718
309	17.76527034
310	17.757022
311	17.74745934
312	17.74044084
313	17.73153094
314	17.72423187
315	17.71518637
316	17.70634276
317	17.69927646
318	17.6916644
319	17.68506355
320	17.67785899
321	17.67036314
322	17.66349463
323	17.65680558
324	17.64559497
325	17.63795533
326	17.629406
327	17.62485807
328	17.61738774
329	17.60885023
330	17.59974784
331	17.59047863
332	17.58264108
333	17.57525428
334	17.56841355
335	17.56375014
336	17.55630619
337	17.55036534
338	17.54360217
339	17.53696976
340	17.52938305
341	17.52128858
342	17.51478248
343	17.50839391
344	17.50380852
345	17.49736478
346	17.49049312
347	17.48348122
348	17.47639712
349	17.47058677
350	17.46438433
351	17.45563225
352	17.44964332
353	17.44275831
354	17.43591439
355	17.4313606
356	17.42421072
357	17.41908627
358	17.40960548
359	17.40281481
360	17.39676911
361	17.39072483
362	17.38386743
363	17.37829232
364	17.36926374
365	17.36285043
366	17.35810884
367	17.35300648
368	17.34710139
369	17.34128337
370	17.33538332
371	17.33039038
372	17.32570739
373	17.31786383
374	17.31127594
375	17.30559525
376	17.29843329
377	17.29012773
378	17.28540849
379	17.27994935
380	17.27408809
381	17.27035039
382	17.26624278
383	17.26004575
384	17.25390144
385	17.24675788
386	17.24236199
387	17.23675031
388	17.23014877
389	17.22564823
390	17.21976733
391	17.2146806
392	17.20963199
393	17.20460752
394	17.19676134
395	17.19081043
396	17.18625359
397	17.18170006
398	17.17498363
399	17.17059003
400	17.16107346
401	17.15508301
402	17.14910842
403	17.14429259
404	17.13490289
405	17.12849351
406	17.12302013
407	17.11682852
408	17.11087926
409	17.10579934
410	17.10299015
411	17.0989167
412	17.09526443
413	17.09101659
414	17.08774645
415	17.08382951
416	17.07761744
417	17.07176504
418	17.06656627
419	17.06131714
420	17.05703228
421	17.05267494
422	17.04781216
423	17.04221456
424	17.03728934
425	17.0317732
426	17.0263925
427	17.02075135
428	17.01336743
429	17.00869117
430	17.00087377
431	16.99671043
432	16.98970336
433	16.98440402
434	16.98013749
435	16.97513659
436	16.96898752
437	16.96508356
438	16.96012932
439	16.95677566
440	16.9505886
441	16.94335831
442	16.93853602
443	16.93439716
444	16.93028055
445	16.92474809
446	16.92084344
447	16.91756735
448	16.9145532
449	16.91059172
450	16.90651013
451	16.90204025
452	16.8976623
453	16.89453145
454	16.88966249
455	16.88711
456	16.88336213
457	16.8798906
458	16.87492851
459	16.87105405
460	16.86531729
461	16.86096815
462	16.85705167
463	16.85371615
464	16.84997567
465	16.84602474
466	16.84161388
467	16.83845946
468	16.83197429
469	16.82834275
470	16.82522568
471	16.82183063
472	16.81717377
473	16.81225987
474	16.80862019
475	16.80571404
476	16.80355577
477	16.79950883
478	16.79665567
479	16.79330462
480	16.78984265
481	16.78434845
482	16.78093509
483	16.77780655
484	16.77419604
485	16.76970114
486	16.76649427
487	16.763395
488	16.76005802
489	16.75511345
490	16.75150847
491	16.74842915
492	16.74455393
493	16.74132023
494	16.73615345
495	16.73304088
496	16.72922915
497	16.72508187
498	16.71944591
499	16.70924784
500	16.70362469
501	16.70054314
502	16.69592525
503	16.69274597
504	16.68999843
505	16.68712704
506	16.68459845
507	16.68186319
508	16.67879447
509	16.6755594
510	16.67070676
511	16.66604837
512	16.66328693
513	16.6598247
514	16.65492823
515	16.65057703
516	16.64709865
517	16.64250708
518	16.64036197
519	16.63742737
520	16.63404527
521	16.63134907
522	16.62825828
523	16.62405218
524	16.61956859
525	16.61450957
526	16.60928717
527	16.60662717
528	16.60051438
529	16.59682109
530	16.58986248
531	16.58722871
532	16.58411364
533	16.57929351
534	16.57566042
535	16.5707998
536	16.56616209
537	16.56164114
538	16.55858685
539	16.55565528
540	16.55126588
541	16.54788876
542	16.54449621
543	16.54177599
544	16.53882972
545	16.53577933
546	16.53302128
547	16.52916448
548	16.52646012
549	16.52224475
550	16.51882732
551	16.51556805
552	16.51231404
553	16.50958414
554	16.50461009
555	16.50023979
556	16.49756995
557	16.49402917
558	16.49070917
559	16.48826362
560	16.4850091
561	16.48166831
562	16.47937765
563	16.47599257
564	16.47189242
565	16.46945166
566	16.46645267
567	16.46036109
568	16.45734599
569	16.45398986
570	16.45166654
571	16.44795753
572	16.44527464
573	16.44230589
574	16.43913311
575	16.43633124
576	16.43379529
577	16.43165337
578	16.42876727
579	16.42346036
580	16.41975251
581	16.41663233
582	16.41423472
583	16.41203791
584	16.40952225
585	16.40677952
586	16.40385716
587	16.39981924
588	16.39797823
589	16.39493747
590	16.39063828
591	16.38876435
592	16.3867464
593	16.38467658
594	16.38166798
595	16.37850073
596	16.37605609
597	16.37357975
598	16.36891481
599	16.36548294
600	16.36370959
601	16.35934309
602	16.35721083
603	16.35523385
604	16.352317
605	16.34973855
606	16.3462977
607	16.34499935
608	16.34148869
609	16.33886168
610	16.33682584
611	16.33363859
612	16.33127743
613	16.32671461
614	16.32349944
615	16.32138773
616	16.31652205
617	16.3141675
618	16.31258509
619	16.31075094
620	16.30839789
621	16.30425543
622	16.3004254
623	16.29670851
624	16.29480388
625	16.29120111
626	16.28890817
627	16.28653452
628	16.28475321
629	16.28257869
630	16.27899152
631	16.2770643
632	16.27426889
633	16.27201588
634	16.26937642
635	16.26690466
636	16.26463161
637	16.26152112
638	16.25938196
639	16.25629493
640	16.25298772
641	16.25038699
642	16.24832863
643	16.24489708
644	16.2389576
645	16.23678397
646	16.23455156
647	16.23157339
648	16.2290214
649	16.22583229
650	16.22369198
651	16.22133974
652	16.21779418
653	16.21565558
654	16.21235156
655	16.21113947
656	16.20919481
657	16.2064366
658	16.20438065
659	16.20241408
660	16.19826172
661	16.19221434
662	16.18970344
663	16.18782588
664	16.18549671
665	16.18229173
666	16.18054548
667	16.17848456
668	16.17653547
669	16.17393483
670	16.17206121
671	16.17012431
672	16.16773567
673	16.16608349
674	16.16394329
675	16.16213301
676	16.16041705
677	16.1585852
678	16.15473794
679	16.15072078
680	16.14673045
681	16.14369859
682	16.1415748
683	16.1394954
684	16.13783972
685	16.13442725
686	16.12736532
687	16.12539697
688	16.12179676
689	16.11996604
690	16.11740698
691	16.1141001
692	16.11233833
693	16.10910833
694	16.10729232
695	16.10307855
696	16.10131206
697	16.09765459
698	16.09617123
699	16.09269563
700	16.08948235
701	16.0870811
702	16.08491579
703	16.08251707
704	16.08115378
705	16.07834259
706	16.07640791
707	16.07347724
708	16.07087098
709	16.06747579
710	16.06146992
711	16.05903769
712	16.05729725
713	16.05522426
714	16.05384846
715	16.05214148
716	16.04990992
717	16.04815839
718	16.04616232
719	16.04349505
720	16.04060224
721	16.038649
722	16.03180058
723	16.02639418
724	16.02373923
725	16.02117404
726	16.01819728
727	16.01661164
728	16.01413682
729	16.01247258
730	16.00965565
731	16.00675932
732	16.00511764
733	16.00358678
734	16.00110218
735	15.99773654
736	15.9958339
737	15.9933241
738	15.98987469
739	15.98869927
740	15.98646812
741	15.98301685
742	15.9799477
743	15.97278174
744	15.97113153
745	15.96876032
746	15.96322828
747	15.9608332
748	15.95707227
749	15.95483824
750	15.95140485
751	15.94860206
752	15.94688228
753	15.94531183
754	15.93950068
755	15.93604274
756	15.9299237
757	15.92614456
758	15.92182766
759	15.91919885
760	15.91771021
761	15.91594355
762	15.91166097
763	15.90967756
764	15.90752096
765	15.90406045
766	15.90325967
767	15.90123681
768	15.89976108
